formula,temp,UTS_Mpa,label
Nb99.0Zr1.0,24,330.96,0
Nb94.9Zr5.1,16,523.79,0
Nb91.2V8.8,24,535.05,0
Nb92.0Hf5.4Ti2.0Zr0.5,24,405.43,3
Nb88.7Ta5.7W5.6,24,517.13,0
Nb74.9Ta17.7W6.2Zr1.3,24,599.18,0
Nb79.3Ta19.5Zr1.2,27,606.87,0
Nb77.6Ti17.7Zr4.7,22,554.62,0
Nb72.8C0.7Mo8.8Ti17.7,24,637.79,0
Nb96.4W2.6Zr1.0,24,584.01,0
Nb92.9C0.8W5.3Zr1.1,24,672.26,0
Nb92.0W5.3Zr2.7,24,601.24,0
Nb88.6Hf5.8W5.6,24,584.01,3
Nb85.5Mo5.2W8.2Zr1.1,24,834.3,0
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,849.66,0
Nb87.7W11.2Zr1.1,24,1182.49,3
Nb85.6V8.8Mo4.7Zr1.0,24,768.1,0
Nb85.0Zr1.2Ta3.5W9.7Re0.6,24,910.538551,1
Nb83.7Zr1.2Ta5.3W9.3Re0.6,24,912.071728,1
Nb86.4Zr1.1Hf0.6Ta0.6W11.3,24,914.298034,1
 Nb84.9Hf1.8Ta2.9W9.3Re1.1,24,909.160627,1
Nb85.7Zr1.1Ta2.9W9.1Re1.1,24,909.211553,1
Nb85.0Zr1.2Hf0.6Ta2.3W10.9,24,912.476138,1
Nb86.2Hf1.8Ta1.2W9.7Re1.1,24,909.318507,1