alloy,temp,YS_Mpa,std,ei,formula,label
Nb99Zr1,24,255.8,,,Nb99.0Zr1.0,0
Nb95Zr5,16,425.49,,,Nb94.9Zr5.1,0
Nb95V5,24,372.33,,,Nb91.2V8.8,0
Nb88.5Hf10Ti1Zr0.5,24,347.51,,,Nb92.0Hf5.4Ti2.0Zr0.5,0
Nb80Ta10W10,24,413.7,,,Nb88.7Ta5.7W5.6,0
Nb61Ta28W10Zr1,24,479.2,,,Nb74.9Ta17.7W6.2Zr1.3,0
Nb67Ta32Zr1,27,493.02,,,Nb79.3Ta19.5Zr1.2,0
Nb85Ti10Zr5,22,491.4,,,Nb77.6Ti17.7Zr4.7,0
Nb94W5Zr1 ,24,450.93,,,Nb96.4W2.6Zr1.0,0
Nb88.9C0.1W10Zr1,24,534.36,,,Nb92.9C0.8W5.3Zr1.1,0
Nb87.5W10Zr2.5,24,472.31,,,Nb92.0W5.3Zr2.7,0
Nb80Hf10W10,24,487.48,,,Nb88.6Hf5.8W5.6,0
Nb79Mo5W15Zr1,24,689.5,,,Nb85.5Mo5.2W8.2Zr1.1,0
Nb74Mo5Ti5W15Zr1,30,558.01,,,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,0
Nb79W20Zr1,24,985.99,,,Nb87.7W11.2Zr1.1,0
Nb89V5Mo5Zr1,24,604,,,Nb85.6V8.8Mo4.7Zr1.0,0
Nb78Zr1Hf1W20,24,874.1451834,138.9171426,16.54661741,Nb87.0Zr1.1Hf0.6W11.3,1
xxxxx,24,876.662718,135.1684946,15.99502345,Nb86.4Zr1.1Hf0.6Ta0.6W11.3,1
Nb78Zr1Ta1W20,24,877.3035105,134.2080629,15.85290821,Nb87.0Zr1.1Ta0.6W11.3,1
Nb77Hf2Ta1W20,24,870.5047785,131.0271348,13.61234803,Nb86.8Hf1.2Ta0.6W11.4,1
xxxxx,24,860.9644199,136.4349793,13.29415752,Nb83.7Zr1.2Ta5.3W9.3Re0.6,1
Nb77Zr1Ta3W19,24,860.9889868,136.3116861,13.26626006,Nb86.4Zr1.1Ta1.7W10.8,1
xxxxx,24,861.3017844,135.9101048,13.21721668,Nb85.0Zr1.2Ta3.5W9.7Re0.6,1
xxxxx,24,861.7459186,135.2638224,13.12768085,Nb85.0Zr1.2Hf0.6Ta2.3W10.9,1
Nb76Zr2Ta2W20,24,861.9904871,134.9225113,13.08220584,Nb85.2Zr2.3Ta1.2W11.3,1
xxxxx,24,861.9910295,134.9219915,13.082167,Nb85.7Zr1.1Hf1.2Ta0.6W11.4,1
xxxxx,24,867.3033013,130.3932086,12.85021435,Nb85.7Zr1.1Hf0.6Ta1.2W11.4,1
Nb76Zr1Ta3W20,24,867.1097755,130.6548095,12.88408612,Nb85.7Zr1.1Ta1.7W11.4,1
xxxxx,24,867.3121759,130.3843296,12.84948295,Nb85.0Zr1.2Hf0.6Ta1.7W11.5,1
Nb75Hf3Ta2W20,24,867.3121759,130.3843296,12.84948295,Nb85.5Hf1.8Ta1.2W11.5,1