formula,T,sqrt
Nb99.0Zr1.0,24,418.2919574
Nb94.9Zr5.1,16,674.8316117
Nb91.2V8.8,24,651.8497767
Nb88.7Ta5.7W5.6,24,662.2470286
Nb74.9Ta17.7W6.2Zr1.3,24,767.2348483
Nb79.3Ta19.5Zr1.2,27,781.8950807
Nb77.6Ti17.7Zr4.7,22,740.9975063
Nb96.4W2.6Zr1.0,24,737.8384274
Nb92.9C0.8W5.3Zr1.1,24,858.7631322
Nb92.0W5.3Zr2.7,24,764.5693387
Nb85.5Mo5.2W8.2Zr1.1,24,1082.343171
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,1016.51231
Nb85.6V8.8Mo4.7Zr1.0,24,977.1354103
Nb92.0Hf5.4Ti2.0Zr0.5,24,533.9819145
Nb88.6Hf5.8W5.6,24,760.726252
Nb87.7W11.2Zr1.1,24,1539.629462
Nb87.0Zr1.1Hf0.6W11.3,24,1331.951941
Nb87.0Zr1.1Ta0.6W11.3,24,1333.431757
Nb86.8Hf1.2Ta0.6W11.4,24,1329.24489
Nb87.5Hf0.6Ta0.6W11.3,24,1329.120383
Nb86.4Zr1.1Ta1.7W10.8,24,1322.041712
Nb85.7Zr1.1Ta1.7W11.4,24,1324.554252
Nb85.5Hf1.8Ta1.2W11.5,24,1325.031769