formula,temp,UTS_Mpa,std,ei,label
Nb99.0Zr1.0,24,330.96,,ex,0
Nb94.9Zr5.1,16,523.79,,ex,0
Nb91.2V8.8,24,535.05,,ex,0
Nb92.0Hf5.4Ti2.0Zr0.5,24,405.43,,ex,0
Nb88.7Ta5.7W5.6,24,517.13,,ex,0
Nb74.9Ta17.7W6.2Zr1.3,24,599.18,,ex,0
Nb79.3Ta19.5Zr1.2,27,606.87,,ex,0
Nb77.6Ti17.7Zr4.7,22,554.62,,ex,0
Nb72.8C0.7Mo8.8Ti17.7,24,637.79,,ex,0
Nb96.4W2.6Zr1.0,24,584.01,,ex,0
Nb92.9C0.8W5.3Zr1.1,24,672.26,,ex,0
Nb92.0W5.3Zr2.7,24,601.24,,ex,0
Nb88.6Hf5.8W5.6,24,584.01,,ex,0
Nb85.5Mo5.2W8.2Zr1.1,24,834.3,,ex,0
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,849.66,,ex,0
Nb87.7W11.2Zr1.1,24,1182.49,,ex,0
Nb85.6V8.8Mo4.7Zr1.0,24,768.1,,ex,0
Nb87.0Zr1.1Hf0.6W11.3,24,911.4271052,132.884163,1.01316675,1
Nb86.4Zr1.1Ta1.7W10.8,24,909.5265525,133.6154575,1.010320467,1
Nb85.0Zr1.2Ta3.5W9.7Re0.6,24,910.538551,132.6367584,0.98283122,1
Nb83.7Zr1.2Ta5.3W9.3Re0.6,24,912.071728,131.1689007,0.942586872,1
Nb86.4Zr1.1Hf0.6Ta0.6W11.3,24,914.298034,129.9979296,0.93049299,1
 Nb84.9Hf1.8Ta2.9W9.3Re1.1,24,909.160627,132.0916125,0.929608986,1
Nb85.7Zr1.1Ta2.9W9.1Re1.1,24,909.211553,132.0432098,0.928320599,1
Nb85.7Zr1.1Ta2.3W10.8,24,912.3974812,130.6917554,0.92632796,1
Nb85.0Zr1.2Hf0.6Ta2.3W10.9,24,912.476138,130.5802269,0.922598871,1
Nb86.2Hf1.8Ta1.2W9.7Re1.1,24,909.318507,131.8468563,0.921194682,1
Nb86.9Hf1.2Ta1.2W9.7Re1.1,24,909.3694325,131.7983027,0.919905359,1
Nb87.0Zr1.1Ta0.6W11.3,24,914.5039172,129.6134064,0.916319096,1
Nb84.4Zr1.2Hf0.6Ta2.9W10.9,24,912.2129663,130.3820552,0.90827448,1
Nb86.8Hf1.2Ta0.6W11.4,24,914.2542208,129.4840328,0.905452351,1