alloy,temp,YS_Mpa,formula
Nb99Zr1,24,255.8,Nb99.0Zr1.0
Nb95Zr5,16,425.49,Nb94.9Zr5.1
Nb95V5,24,372.33,Nb91.2V8.8
Nb88.5Hf10Ti1Zr0.5,24,347.51,Nb92.0Hf5.4Ti2.0Zr0.5
Nb80Ta10W10,24,413.7,Nb88.7Ta5.7W5.6
Nb61Ta28W10Zr1,24,479.2,Nb74.9Ta17.7W6.2Zr1.3
Nb67Ta32Zr1,27,493.02,Nb79.3Ta19.5Zr1.2
Nb85Ti10Zr5,22,491.4,Nb77.6Ti17.7Zr4.7
Nb94W5Zr1 ,24,450.93,Nb96.4W2.6Zr1.0
Nb88.9C0.1W10Zr1,24,534.36,Nb92.9C0.8W5.3Zr1.1
Nb87.5W10Zr2.5,24,472.31,Nb92.0W5.3Zr2.7
Nb80Hf10W10,24,487.48,Nb88.6Hf5.8W5.6
Nb79Mo5W15Zr1,24,689.5,Nb85.5Mo5.2W8.2Zr1.1
Nb74Mo5Ti5W15Zr1,30,558.01,Nb76.2Mo5.0Ti10.0W7.8Zr1.0
Nb79W20Zr1,24,985.99,Nb87.7W11.2Zr1.1
Nb89V5Mo5Zr1,24,604,Nb85.6V8.8Mo4.7Zr1.0
Nb78Zr1Hf1W20,24,864.0014103,Nb87.0Zr1.1Hf0.6W11.3
Nb78Zr1Ta1W20,24,866.1080032,Nb87.0Zr1.1Ta0.6W11.3
Nb77Hf2Ta1W20,24,862.3972511,Nb86.8Hf1.2Ta0.6W11.4
Nb78Hf1Ta1W20,24,861.0435456,Nb87.5Hf0.6Ta0.6W11.3
Nb76Zr1Ta3W20,24,860.22733,Nb85.7Zr1.1Ta1.7W11.4
Nb77Zr1Ta2W20,24,860.6117838,Nb86.4Zr1.1Ta1.2W11.3
Nb76Hf3Ta1W20,24,860.6176488,Nb86.2Hf1.8Ta0.6W11.5
Nb75Hf3Ta2W20,24,860.6176488,Nb85.5Hf1.8Ta1.2W11.5
Nb76Hf2Ta2W20,24,860.7170366,Nb86.2Hf1.2Ta1.2W11.5
Nb77Zr1Ta3W19,24,853.8462209,Nb86.4Zr1.1Ta1.7W10.8
Nb79Hf1W19Re1,24,860.3348576,Nb88.1Hf0.6W10.7Re0.6
Nb76Zr2Ta2W20,24,855.1673634,Nb85.2Zr2.3Ta1.2W11.3
Nb76Zr1Ta4W19,24,855.5792095,Nb85.7Zr1.1Ta2.3W10.8
Nb77Hf1Ta2W20,24,857.3394349,Nb86.9Hf0.6Ta1.2W11.4
Nb74Zr1Ta7W18,24,852.2834328,Nb84.4Zr1.2Ta4.1W10.4
Nb74Hf3Ta3W20,24,856.6769976,Nb84.9Hf1.8Ta1.8W11.6
Nb76Hf4W19Re1,24,854.2590816,Nb86.2Hf2.4W10.9Re0.6
Nb77Hf3W19Re1,24,854.3591821,Nb86.8Hf1.8W10.8Re0.6
Nb73Zr1Ta6W20,24,853.8606005,Nb83.7Zr1.2Ta3.5W11.6
Nb75Zr1Ta4W20,24,853.8741442,Nb85.1Zr1.2Ta2.3W11.5