formula,mean,std,ei
Nb78.5B7.0C6.3N5.4Si2.7,776.5191326680998,84.89051419478169,1.4254210425412774e-05
Nb76.3B6.9C6.2N5.3Si5.3,771.4236471314579,88.27019063714484,2.8090455057646116e-05
Nb74.1B6.8C6.1N5.2Si7.8,770.9222237279813,88.40187478075929,2.8312300721599487e-05
Nb72.0B6.7C6.0N5.1Si10.2,758.0949101969144,93.17074472669925,4.9313992361914045e-05
Nb70.0B6.5C5.9N5.0Si12.6,758.1060288499224,93.17903301459967,4.9446470058219644e-05
Nb68.0B6.4C5.8N5.0Si14.8,756.5211865377146,94.2104413883305,5.883767155235339e-05
Nb66.1B6.3C5.7N4.9Si17.0,751.5598465592544,95.7983344869744,6.702394018370458e-05
Nb64.3B6.2C5.6N4.8Si19.1,753.8224016479542,96.302973646384,8.473773355737618e-05
Nb62.5B6.1C5.5N4.7Si21.2,729.3560588287928,86.75032335139952,1.366337631793319e-06
Nb60.8B6.0C5.4N4.6Si23.1,688.3755293483047,70.68745093268552,1.335466668751241e-11
Nb59.2B5.9C5.3N4.6Si25.0,646.9060420183652,68.96642309695464,3.4860559214216097e-14
Nb57.6B5.8C5.2N4.5Si26.9,647.0767973240274,69.13784567785473,4.158215507786381e-14
Nb56.0B5.7C5.2N4.4Si28.7,653.4488217669294,74.63088504619174,6.857155001482161e-12
Nb54.5B5.6C5.1N4.4Si30.4,652.6061620889209,74.80664336733734,7.1512496879164455e-12
Nb53.0B5.6C5.0N4.3Si32.1,652.0561708976256,74.92005297003789,7.342315453819327e-12
Nb51.6B5.5C4.9N4.2Si33.7,652.13479812258,74.85382557508153,7.060017293128384e-12
Nb50.3B5.4C4.9N4.2Si35.3,652.0255980153778,74.86455349300722,7.0380496102579904e-12
Nb48.9B5.3C4.8N4.1Si36.9,651.9757861575947,74.90416959780052,7.203178291630639e-12
Nb47.6B5.2C4.7N4.0Si38.4,651.4350038732905,74.92097352856723,6.912655026997488e-12
Nb46.4B5.2C4.7N4.0Si39.8,651.4438350391848,74.91857530309709,6.906892357150915e-12
Nb74.3B6.7C6.0N10.4Si2.6,753.7493793729601,91.26290061133305,2.3607917379394163e-05
Nb72.2B6.6C5.9N10.2Si5.1,753.710964382451,91.36341393876015,2.421050106359555e-05
Nb70.2B6.5C5.8N10.0Si7.5,747.6298390830303,93.81788816252109,3.331040425724838e-05
Nb68.2B6.4C5.7N9.8Si9.8,749.4338904078319,94.5350748246634,4.4011668615881244e-05
Nb66.4B6.3C5.6N9.7Si12.1,750.3342200908954,94.82506148053201,4.9603795098825164e-05
Nb64.5B6.2C5.5N9.5Si14.2,712.9702298048009,79.3526773449891,2.0878473217027766e-08
Nb62.8B6.1C5.5N9.4Si16.3,669.9477311358402,64.73112808436731,9.560160450083878e-15
Nb61.1B6.0C5.4N9.2Si18.4,646.8273029536025,68.81403996532717,3.002495655873844e-14
Nb59.4B5.9C5.3N9.1Si20.3,645.8128933362616,68.39355015240655,1.8004006444451274e-14
Nb57.8B5.8C5.2N8.9Si22.2,645.2599114750157,68.36356587197605,1.6392120036757097e-14
Nb56.3B5.7C5.1N8.8Si24.1,644.1499043098478,68.59825773270681,1.7937657687457225e-14
Nb54.8B5.6C5.0N8.7Si25.9,644.3150647044546,68.69079378509599,1.9948795697197744e-14
Nb53.3B5.5C5.0N8.5Si27.6,644.3798473809021,68.58591768678357,1.8218238663359142e-14
Nb51.9B5.4C4.9N8.4Si29.3,644.1049866088917,68.75328730707949,2.0633564698946487e-14
Nb50.6B5.4C4.8N8.3Si31.0,643.5201688802522,68.72152226986411,1.86984279651931e-14
Nb49.2B5.3C4.8N8.2Si32.6,643.5290000461466,68.71745142558952,1.864656903638742e-14
Nb47.9B5.2C4.7N8.0Si34.1,643.5290000461466,68.71745142558952,1.864656903638742e-14
Nb46.7B5.1C4.6N7.9Si35.6,643.5786421648327,68.67598853675784,1.80401759434533e-14
Nb45.4B5.1C4.6N7.8Si37.1,644.3990167216491,69.10897667356153,2.969328365088539e-14
Nb44.2B5.0C4.5N7.7Si38.5,644.4224969549824,69.15044319109319,3.093030237258293e-14
Nb70.4B6.4C5.8N14.9Si2.5,749.303805913266,93.56820522919064,3.415500614251511e-05
Nb68.5B6.3C5.7N14.6Si4.9,748.5206216217048,93.70673721512215,3.394690211141354e-05
Nb66.6B6.2C5.6N14.4Si7.2,709.1253553967357,77.78612363171126,7.06233197257138e-09
Nb64.8B6.1C5.5N14.2Si9.4,643.234063811965,66.47111150700138,1.969343121568604e-15
Nb63.0B6.0C5.4N13.9Si11.6,643.2397222307574,67.24084060398941,4.31067273407381e-15
Nb61.3B5.9C5.3N13.7Si13.7,642.1909223394304,66.75293440844494,2.310025759422415e-15
Nb59.7B5.8C5.2N13.5Si15.7,641.3512864538881,66.90409853146976,2.42858742347528e-15
Nb58.1B5.7C5.2N13.3Si17.7,640.7539087112248,67.06869666402707,2.666634730694104e-15
Nb56.6B5.7C5.1N13.1Si19.6,641.145213487082,67.24520416212223,3.3459966073311567e-15
Nb55.1B5.6C5.0N12.9Si21.4,641.0360133798795,67.2533154131512,3.328342875107515e-15
Nb53.6B5.5C4.9N12.7Si23.2,640.4013837934572,67.25501237946779,3.083066633775712e-15
Nb52.2B5.4C4.9N12.5Si25.0,642.4076708371365,67.80096464040777,6.7787661935251545e-15
Nb50.9B5.3C4.8N12.3Si26.7,643.4563532605288,68.54468903663553,1.5713083904360085e-14
Nb49.5B5.3C4.7N12.2Si28.3,643.4808396624575,68.53815936368193,1.5661738659552273e-14
Nb48.2B5.2C4.7N12.0Si29.9,643.509517516173,68.51187617878435,1.532930285380855e-14
Nb47.0B5.1C4.6N11.8Si31.5,643.509517516173,68.51187617878435,1.532930285380855e-14
Nb45.8B5.0C4.5N11.7Si33.0,643.509517516173,68.51187617878435,1.532930285380855e-14
Nb44.6B5.0C4.5N11.5Si34.5,643.7207974539933,68.60286287658158,1.7126109337132278e-14
Nb43.4B4.9C4.4N11.4Si35.9,643.57255331032,68.6616238388023,1.778561337348855e-14
Nb42.3B4.8C4.4N11.2Si37.3,643.5786421648327,68.67598853675784,1.80401759434533e-14
Nb66.8B6.2C5.6N19.1Si2.4,593.5316386612665,49.599946591896824,3.312978244675606e-32
Nb65.0B6.1C5.5N18.8Si4.7,642.5857938236736,66.26912231676896,1.4710064792713206e-15
Nb63.3B6.0C5.4N18.5Si6.9,640.5555541296391,65.6968735302035,6.177194004119008e-16
Nb61.6B5.9C5.3N18.2Si9.1,639.8758623465127,65.8152965219964,6.429883574595422e-16
Nb60.0B5.8C5.2N17.9Si11.1,639.5426342750048,65.91215040080016,6.836312319514346e-16
Nb58.4B5.7C5.1N17.6Si13.2,639.6385473740567,65.81630485114356,6.243052324457316e-16
Nb56.9B5.6C5.1N17.3Si15.1,639.3752039098656,65.9628720106763,7.065084248218571e-16
Nb55.4B5.5C5.0N17.1Si17.0,638.7857176731266,65.9294365167829,6.318707810622237e-16
Nb53.9B5.5C4.9N16.8Si18.9,638.8589891293506,66.06116855137775,7.346436824522189e-16
Nb52.5B5.4C4.8N16.6Si20.7,640.1540699475636,66.94041893539114,2.171465811315635e-15
Nb51.2B5.3C4.8N16.4Si22.4,640.182747801279,66.91493394640501,2.1230673116601165e-15
Nb49.8B5.2C4.7N16.1Si24.1,640.182747801279,66.91493394640501,2.1230673116601165e-15
Nb48.5B5.2C4.6N15.9Si25.8,640.1636747860024,66.95707048185038,2.2114448326138727e-15
Nb47.3B5.1C4.6N15.7Si27.4,640.4598570780374,67.21000216362926,2.967357541682563e-15
Nb46.1B5.0C4.5N15.5Si28.9,640.4598570780374,67.21000216362926,2.967357541682563e-15
Nb44.9B4.9C4.5N15.3Si30.5,640.4598570780374,67.21000216362926,2.967357541682563e-15
Nb43.7B4.9C4.4N15.1Si31.9,640.4598570780374,67.21000216362926,2.967357541682563e-15
Nb42.6B4.8C4.3N14.9Si33.4,642.4661441217168,67.75609330742046,6.533317527956433e-15
Nb41.5B4.8C4.3N14.7Si34.8,643.5059953792148,68.50349167563392,1.5201848508393864e-14
Nb40.4B4.7C4.2N14.5Si36.1,643.5059953792148,68.50349167563392,1.5201848508393864e-14
Nb63.5B5.9C5.3N22.9Si2.3,585.4061259405919,48.654636128304425,2.503087957456979e-34
Nb61.9B5.8C5.3N22.5Si4.5,588.9595037936382,49.07441366369469,2.255121596588453e-33
Nb60.2B5.8C5.2N22.2Si6.6,640.1318034305228,66.186350022179,9.874722554975115e-16
Nb58.7B5.7C5.1N21.9Si8.7,640.4684201871911,66.20277694220354,1.0487634772543928e-15
Nb57.1B5.6C5.0N21.5Si10.7,638.4760238046631,65.7520315648213,5.012053341491687e-16
Nb55.6B5.5C4.9N21.2Si12.7,638.4834887057333,65.7476306006232,4.992983121388539e-16
Nb54.2B5.4C4.9N20.9Si14.6,638.6577921800704,65.80912391326085,5.458722265047292e-16
Nb52.8B5.3C4.8N20.6Si16.4,638.7186695745555,65.81560160769656,5.540478940382768e-16
Nb51.4B5.3C4.7N20.3Si18.2,638.7186695745555,65.81560160769656,5.540478940382768e-16
Nb50.1B5.2C4.7N20.0Si20.0,638.8422378921929,65.88788085294637,6.086317766220221e-16
Nb48.8B5.1C4.6N19.8Si21.7,638.8441909577072,65.88489490474146,6.068289648719164e-16
Nb47.6B5.0C4.5N19.5Si23.3,638.8441909577072,65.88489490474146,6.068289648719164e-16
Nb46.4B5.0C4.5N19.2Si24.9,638.8441909577072,65.88489490474146,6.068289648719164e-16
Nb45.2B4.9C4.4N19.0Si26.5,638.881467225791,65.90310782576452,6.218294547037048e-16
Nb44.0B4.9C4.4N18.7Si28.0,640.182747801279,66.91493394640501,2.1230673116601165e-15
Nb42.9B4.8C4.3N18.5Si29.5,640.182747801279,66.91493394640501,2.1230673116601165e-15
Nb41.8B4.7C4.3N18.2Si30.9,640.182747801279,66.91493394640501,2.1230673116601165e-15
Nb40.8B4.7C4.2N18.0Si32.4,640.1964912240288,66.92422715504595,2.147061249574829e-15
Nb39.7B4.6C4.2N17.8Si33.7,640.1636747860024,66.95707048185038,2.2114448326138727e-15
